n_obs,n_trees,n_folds,variance_total,variance_dgp,share_variance_dgp,variance_cf_rep,share_variance_cf_rep,variance_learner_rep,share_variance_learner_rep
100,1,2,0.569238143394928,0.273090529361831,0.479747417720679,0.0474985864542939,0.0834423817262367,0.248649027578804,0.436810200553084
200,1,2,0.187197389329811,0.0702131477115302,0.375075464262091,0.0189221385041269,0.101081209368733,0.0980621031141536,0.523843326369175
400,1,2,0.0812552003971541,0.0286075691391313,0.352070624394562,0.00889676690259873,0.109491661568905,0.0437508643554241,0.538437714036533
800,1,2,0.0308050034224634,0.0157920986039662,0.512647195242654,0.00252349458728759,0.0819183349107317,0.0124894102312096,0.405434469846614
100,10,2,0.379196801122295,0.320788043081617,0.84596716568334,0.0241301969005165,0.0636350223132138,0.0342785611401614,0.0903978120034463
200,10,2,0.186666036548184,0.135098715786718,0.723745563386649,0.0237583145773503,0.127277114876854,0.0278090061841153,0.148977321736496
400,10,2,0.1030949448273,0.082377825118327,0.799048151743255,0.00653351935434968,0.0633738091163861,0.0141836003546235,0.137578039140359
800,10,2,0.0201762238346258,0.0158221025740805,0.784195432394399,0.00158088466909696,0.0783538427237259,0.00277323659144829,0.137450724881876
100,100,2,0.443780122625863,0.413100108817673,0.930866633623301,0.0267017961757419,0.0601689774155418,0.00397821763244811,0.00896438896115682
200,100,2,0.143926602360284,0.128321546701563,0.891576293730209,0.0132363940407347,0.0919662788092554,0.00236866161798577,0.016457427460536
400,100,2,0.0432092728912835,0.0382341698028656,0.884860291425511,0.00427157555128531,0.098857843825162,0.000703527537132656,0.0162818647493274
800,100,2,0.0252613139161489,0.0235570820576944,0.932535898009443,0.00138354893107804,0.054769476190768,0.000320682927376507,0.0126946257997887
100,500,2,0.556907719280523,0.505430661922883,0.9075662707205,0.0500827583756133,0.0899300847190913,0.00139429898202625,0.00250364456040862
200,500,2,0.116232135357736,0.102786594666023,0.884321658116913,0.0130160816113456,0.111983502421986,0.000429459080367885,0.00369483946110177
400,500,2,0.0443735398709046,0.0400205647326749,0.901901557755056,0.00418925610437985,0.0944088778260107,0.000163719033849825,0.00368956441893369
800,500,2,0.0287738719964032,0.0272425412351044,0.946780511100825,0.00147639232673203,0.0513101721908188,5.4938434566827e-05,0.00190931670835591
100,1,5,0.390705327034014,0.194851765619949,0.498717965017626,0.0253274260522128,0.0648248802863336,0.170526135361852,0.43645715469604
200,1,5,0.125169007571028,0.0636423483918523,0.508451330140476,0.00829240977386656,0.0662497045777166,0.0532342494053088,0.425298965281807
400,1,5,0.0472352583991551,0.0270295436658959,0.572232365862941,0.00236221866033184,0.0500096483091134,0.0178434960729274,0.377757985827946
800,1,5,0.0274323093365059,0.0195084388767491,0.711148253595551,0.000907053813379816,0.033065164228545,0.007016816646377,0.255786582175904
100,10,5,0.327783664808058,0.284363693392831,0.867534669732086,0.0107182766211355,0.0326992396872853,0.0327016947940912,0.0997660905806288
200,10,5,0.119362554530529,0.103168868168853,0.864331938727613,0.00372560479405655,0.0312125088869781,0.0124680815676199,0.104455552385409
400,10,5,0.0502998642989482,0.0443297056973461,0.881308653913667,0.00129198578430812,0.0256856713693984,0.00467817281729394,0.093005674716935
800,10,5,0.0151354974081591,0.0131952078640881,0.871805366434464,0.000445636309691286,0.0294431228570695,0.0014946532343798,0.098751510708467
100,100,5,0.231805564722823,0.221196601813194,0.954233355345401,0.00758082558257988,0.0327033804889219,0.00302813732704823,0.0130632641656773
200,100,5,0.146148228436248,0.139805227082774,0.956598848844469,0.00478364493187108,0.0327314602650676,0.00155935642160367,0.0106696908904639
400,100,5,0.0309417542524939,0.0296605890316222,0.958594292669477,0.000898598727798506,0.0290416218959557,0.000382566493073218,0.0123640854345672
800,100,5,0.0210183512014541,0.0205926688387049,0.979747109624866,0.000273840113230227,0.013028620114183,0.000151842249518889,0.00722427026095105
100,500,5,0.222321842374343,0.214407393366586,0.964400938192883,0.00732770775185447,0.0329599092630591,0.000586741255901909,0.002639152544058
200,500,5,0.1279401657031,0.123475049151023,0.965099962724462,0.00417349523839926,0.0326206802645882,0.000291621313677513,0.00227935701095037
400,500,5,0.03979940415643,0.0387138219547784,0.972723656932533,0.00100835335476686,0.0253358907285035,7.72288468846778e-05,0.00194045233896299
800,500,5,0.0277494946433569,0.0273847973423027,0.986857515578519,0.000330077455368874,0.0118948996949713,3.46198456854186e-05,0.00124758472650984
100,1,10,0.270200736315091,0.159019799697386,0.588524671938522,0.013968229441364,0.0516957489896518,0.0972127071763407,0.359779579071826
200,1,10,0.114292943668049,0.0676355208597398,0.591773373657953,0.00533592528086985,0.0466863929619963,0.0413214975274395,0.361540233380051
400,1,10,0.0509823708052092,0.0298650551658686,0.585791807916809,0.00219830372137581,0.0431188994677194,0.0189190119179648,0.371089292615472
800,1,10,0.0192059158467669,0.011926223696267,0.620966153940255,0.000785145236435517,0.040880385121946,0.00649454691406434,0.338153460937799
100,10,10,0.364497134887453,0.319833672893432,0.87746553341822,0.0120583505300679,0.0330821544970201,0.0326051114639531,0.0894523120847594
200,10,10,0.08085239735058,0.0681620258196566,0.843042730373258,0.00239554319349581,0.0296285981862556,0.0102948283374276,0.127328671440486
400,10,10,0.0312611332291822,0.0276739451206981,0.885250861439167,0.000627128871980472,0.0200609769128602,0.00296005923650363,0.0946881616479731
800,10,10,0.0225780118489241,0.0207267641359514,0.918006610796385,0.000281586247199037,0.0124717025167323,0.00156966146577363,0.069521686686883
100,100,10,0.233719546168521,0.226619988541207,0.969623603401168,0.00476716709278827,0.0203969551153884,0.00233239053452572,0.00997944148344345
200,100,10,0.0998576695568374,0.0978600532737805,0.979995364483047,0.00112768434302584,0.0112929166886273,0.000869931940031023,0.00871171882832567
400,100,10,0.0266935116507666,0.0260468106584415,0.975773101689055,0.0003514474098904,0.0131660238071489,0.000295253582434753,0.0110608745037962
800,100,10,0.0152812960753506,0.0150178860043261,0.982762583113001,0.000128741276637813,0.00842476161727394,0.00013466879438667,0.00881265526972525
100,500,10,0.312320140755272,0.305981640245467,0.979705117657553,0.00581703362792157,0.0186252273511867,0.000521466881883348,0.0016696549912609
200,500,10,0.0758886203024833,0.0744102331618823,0.980518987765118,0.00128755209509679,0.0169663394849551,0.000190835045504202,0.00251467274992687
400,500,10,0.0436058388142746,0.0431623545499873,0.989829704545389,0.000372470362569932,0.00854175433148651,7.10139017173707e-05,0.00162854112312418
800,500,10,0.0126779130175268,0.0124986119292848,0.985857207886338,0.000150476751322094,0.0118692052165104,2.88243369198728e-05,0.0022735868971513
