n_obs,n_trees,n_folds,variance_total,variance_dgp,share_variance_dgp,variance_cf_rep,share_variance_cf_rep,variance_learner_rep,share_variance_learner_rep
100,1,2,0.0863359661609784,0.02921214840957,0.338354334914169,0.00998838266421579,0.115692023942743,0.0471354350871926,0.545953641143088
200,1,2,0.0425611056746575,0.0199551873438259,0.468859702479675,0.00363786382033351,0.0854739030546294,0.0189680545104981,0.445666394465696
400,1,2,0.0186828353322604,0.00984569431663068,0.526991441156136,0.00145128256407707,0.0776799954753697,0.00738585845155266,0.395328563368495
800,1,2,0.0103052362148672,0.00644730442075521,0.625633831804243,0.000683612317060298,0.0663364044071171,0.00317431947705167,0.30802976378864
100,10,2,0.0699565599029541,0.0525034810143222,0.750515478279044,0.00761162778001233,0.108805061177557,0.00984145110861957,0.140679460543399
200,10,2,0.0339269528954489,0.02682564503151,0.79068830950358,0.00305438008468815,0.0900281287889512,0.00404692777925066,0.119283561707469
400,10,2,0.0161148715173327,0.0136608348050268,0.847716023694862,0.00101029199485116,0.0626931461268255,0.00144374471745469,0.0895908301783131
800,10,2,0.00744645758009278,0.00634707705621566,0.852361943642011,0.000459287290700019,0.0616786284968398,0.000640093233177096,0.0859594278611496
100,100,2,0.0565088091605223,0.0478201271761244,0.846241991054592,0.00766340405667175,0.135614325810736,0.00102527792772618,0.0181436831346722
200,100,2,0.0269100033753971,0.0237574581386878,0.88284857520339,0.00275863015978894,0.102513185201272,0.000393915076920415,0.0146382395953379
400,100,2,0.0122224287404685,0.0109700980807191,0.89753831367387,0.0011063635248621,0.0905191225373173,0.000145967134887266,0.011942563788813
800,100,2,0.00709374124415953,0.00660601975179658,0.931246224583607,0.000420874772653526,0.0593304376586957,6.6846719709424e-05,0.00942333775769742
100,500,2,0.0631043988633693,0.0554864611358123,0.879280400974092,0.00741271284006738,0.117467450345531,0.000205224887489531,0.00325214868037765
200,500,2,0.0226804280248268,0.0198355982480173,0.874568955502275,0.00276781397239684,0.122035350010463,7.70158044126677e-05,0.00339569448726292
400,500,2,0.0159497629025894,0.0148710250393645,0.93236652671183,0.00104788591188257,0.0656991529142067,3.08519513423631e-05,0.00193432037396332
800,500,2,0.00720840937639668,0.0068495056850707,0.950210417779382,0.000346336584436674,0.0480461869397601,1.25671068893009e-05,0.00174339528085778
100,1,5,0.0644087528960317,0.0366049871096983,0.568323177577834,0.00323095671842949,0.0501633174553912,0.024572809067904,0.381513504966775
